bracket,count,MAE,MAPE
€0-50,5541,16.65,44.47
€50-100,19449,18.29,24.69
€100-150,13568,26.01,21.04
€150-200,7941,37.05,21.27
€200-300,7042,56.19,22.99
€300-500,3942,105.52,27.67
€500+,1924,361.91,42.13
