city,count,MAE
Budapest,2341,26.79
Brussels,951,27.55
Ghent,236,29.38
Berlin,1808,30.58
Vienna,2099,32.22
Lyon,1022,32.84
Manchester,1309,33.09
Geneva,423,36.67
Stockholm,636,36.73
Lisbon,4306,36.97
Madrid,3852,37.47
Oslo,1750,37.96
Sicily,10136,40.14
Zurich,476,43.84
Copenhagen,2684,45.36
Rome,6716,45.9
London,12305,53.1
Milan,4084,60.79
Amsterdam,1187,62.47
Munich,1086,73.92
